INVOICE_ID,EVENT,EVENT_ATTRIBUTE,Event Attribute Value,Supplier Name,Supplier Site Name,INVOICE_CURRENCY_CODE,PAYMENT_CURRENCY_CODE,INVOICE_AMOUNT,Invoice Amount Paid,DISCOUNT_AMOUNT_TAKEN,INVOICE_OUTSTANDING,INVOICE_DATE,Payment Term,Invoice Term Date,Invoice Creation Date,PO_HEADER_ID,GOODS_RECEIVED_DATE,INVOICE_RECEIVED_DATE,ORG_ID,Invoice Type,Invoice Description,CANCELLED_DATE,APPROVAL_STATUS,WFAPPROVAL_STATUS,INVOICE_LINE_NUMBER,INVOICE_LINE_AMOUNT,INVOICED_QTY,UOM,UNIT_PRICE,HOLD_LOOKUP_CODE,HELD_BY,INVOICE_HOLD_DATE,INVOICE_HOLD_REASON,RELEASE_LOOKUP_CODE,INVOICE_RELEASE_DATE,INVOICE_RELEASE_REASON,INVOICE_HOLD_DETAILS,STATUS_FLAG,HOLD_TYPE,HOLD_INACTIVE_DATE,DAYS_TO_WAIT_FOR_REMINDER_NTF,NUMBER_OF_APPROVAL_ITERATION,AMOUNT_APPROVED,INVOICE_APPROVAL_CREATION_DATE,PAYMENT_NUM,PAYMENT_AMOUNT_REMAINING,PAYMENT_DUE_DATE,FIRST_DISCOUNT_AVAILABLE_DATE,SECOND_DISCOUNT_AVAILABLE_DATE,THIRD_DISCOUNT_AVAILABLE_DATE,FIRST_DISCOUNT_AVAILABLE_AMT,SECOND_DISCOUNT_AVAILABLE_AMT,THIRD_DISCOUNT_AVAILABLE_AMT,PAYMENT_STATUS_FLAG,DUE_DATE_PASSED,0-30 days,31-60 days,61-90 days,Over 91 days,INVOICE_PAYMENT_ID,PAYMENT_CREATION_DATE,CHECK_ID,PAYMENT_NUMBER,PAYMENT_STATUS,PAYEE,PAYMENT_CLEARED_DATE,CHECK_AMOUNT,PAYMENT_DATE,PAYMENT_TYPE_FLAG,CHECK_VOID_DATE,FUTURE_PAY_DUE_DATE,CHECK_CLEARED_BASE_AMOUNT,CHECK_BASE_AMOUNT,CHECK_STOP_DATE
205401,Invoice Date,,28-04-2008 00:00,Consolidated Supplies,RICHMOND,GBP,GBP,328.3,328.3,0,0,28-04-2008 00:00,30 Net (terms date + 30),28-04-2008 00:00,28-04-2008 07:11,,28-04-2008 00:00,28-04-2008 00:00,626,STANDARD,Receipt Invoice automatically created on 28-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205401,Invoice Creation Date,,28-04-2008 07:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205401,Payment Due Date,,28-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28-05-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205401,Payment Date,,30-05-2008 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,155571,,76349,7838,RECONCILED,Consolidated Supplies,30-05-2008 00:00,6314.62,30-05-2008 11:00,A,,,6314.62,,
205402,Invoice Date,,28-04-2008 00:00,Bechtel,BIRMINGHAM,GBP,GBP,23275.59,23275.59,0,0,28-04-2008 00:00,30 Net (terms date + 30),28-04-2008 00:00,28-04-2008 07:26,,28-04-2008 00:00,28-04-2008 00:00,626,STANDARD,Receipt Invoice automatically created on 28-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205402,Invoice Creation Date,,28-04-2008 07:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205402,Payment Due Date,,28-05-2008 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28-05-2008 00:00,,,,,,,Fully Paid,Y,Y,N,N,N,,,,,,,,,,,,,,,
205402,Payment Date,,30-05-2008 11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,155579,,76351,7840,RECONCILED,Bechtel,30-05-2008 00:00,23275.59,30-05-2008 11:00,A,,,23275.59,,
205403,Invoice Date,,28-04-2008 00:00,Advanced Network Devices,AND-BREDA,EUR,EUR,7625.1,7320.1,305,0,28-04-2008 00:00,"4/10, 3/20, 2/30 Net  60",28-04-2008 00:00,28-04-2008 07:27,,28-04-2008 00:00,28-04-2008 00:00,889,STANDARD,Receipt Invoice automatically created on 28-APR-08,,,NOT REQUIRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205403,Invoice Creation Date,,28-04-2008 07:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
